epoch,g_total,g_adv,g_l1,d_total,d_real,d_fake,val_l1
1,34.31624918937683,0.9608353481292725,0.3335541385859251,0.050018980716587974,0.05603781959635671,0.04400014209907385,0.0
2,32.725746563911436,0.994246479892172,0.31731500110775235,0.01460715821327176,0.018308841563004535,0.01090547505451832,0.0
3,32.07133631896973,0.9999955253601074,0.31071340858191254,0.002654667329712538,0.0039016254918533377,0.0014077091702420148,0.0
4,31.56606653404236,1.000371966123581,0.30565694569796326,0.0018639080769498832,0.0025624790204456078,0.0011653371337379211,0.0
5,31.106690514564516,0.9488220426067709,0.30157868460565807,0.034051142508200426,0.04358456704374839,0.024517717997501676,0.34071222493052483
6,30.45306306552887,0.9991125296950341,0.2945395058766007,0.00185013662106212,0.0027596801670151765,0.000940593078135862,0.0
7,29.85636246109009,0.9973036514017731,0.2885905883088708,0.0030153629265114433,0.003592718013569538,0.002438007836763063,0.0
8,29.25740723991394,1.0001452793180943,0.2825726199820638,0.000825502765532292,0.000995600586909859,0.000655404946987801,0.0
9,28.666900597572326,1.0003627002239228,0.2766653792262077,0.000618881458613032,0.0006500155528283358,0.0005877473619734701,0.0
10,28.07980497074127,1.0003856025636195,0.27079419388622045,0.0004920652773671464,0.00048320844355566805,0.0005009221124455507,0.3241780430674553
11,27.646729085922242,0.9925322629567236,0.2665419684648514,0.007295837043058782,0.008875733422993108,0.0057159405438014805,0.0
12,27.106629779815673,1.0000309046506881,0.26106598891317845,0.0001700488589476663,0.0002031101610209589,0.00013698755730501944,0.0
13,26.705704152107238,1.0002733782827855,0.2570543076843023,0.00038587129516326967,0.00039435278488872427,0.00037738980587755577,0.0
14,26.23492252063751,1.0002888016998768,0.2523463374599814,0.0003720087919755315,0.0003689584057888169,0.0003750591778416492,0.0
15,25.745808700561522,0.9983788935542106,0.24747429808229207,0.0020350819046770995,0.002522198590704193,0.0015479652197459472,0.35591767939925195
16,25.2607109746933,1.000097865909338,0.24260613124072553,0.00023474983921005334,0.0002441911524820171,0.00022530852589784444,0.0
17,24.75121689796448,1.0002727772295474,0.23750944136083127,0.00030271340052968296,0.00028749759470065325,0.000317929205488781,0.0
18,24.36434412574768,1.0002395740151406,0.23364104591310025,0.0002813967216761739,0.00026703856012682083,0.00029575488262776164,0.0
19,23.971056018829344,1.0002363743185998,0.22970819688588381,0.0002653662238910783,0.00025189918946375657,0.00027883325779635016,0.0
20,23.619591108322144,0.9995006872233935,0.22620090393722056,0.001056435644152998,0.0010495928854995782,0.001063278403004233,0.3504054344594479
21,23.18237489080429,1.0001591108739376,0.22182215830683708,0.00020005991872631057,0.00019078795007681037,0.0002093318875042769,0.0
22,22.791210267543793,1.0001623603105545,0.21791047932952642,0.00018823484477798047,0.0001805293161355621,0.0001959403720256887,0.0
23,22.351099675178528,1.0001197674572468,0.21350979962944985,0.00014680412616428385,0.00013888645401016219,0.00015472179856783442,0.0
24,21.93025890302658,1.0001248557567597,0.20930134058743716,0.00012366364058482305,0.00011679969971555693,0.0001305275814866036,0.0
25,21.55158918094635,1.0000583464503288,0.2055153084024787,0.00021600280997637357,0.00021955604053891875,0.0002124495808753011,0.3402463489472866
26,21.17073041820526,1.000060659110546,0.2017066979035735,7.676523081545383e-05,7.372319445721587e-05,7.980726711662101e-05,0.0
27,20.790065420150757,1.0001552690565587,0.19789910184964538,9.901239930036355e-05,0.00010855410086367102,8.947069668198537e-05,0.0
28,20.44560057401657,1.0000484256148339,0.1944555215537548,5.9320577915286774e-05,5.536773748599444e-05,6.327341832110278e-05,0.0
29,20.115886682987213,1.0000514072477817,0.1911583529524505,4.754790624286897e-05,4.5648215954997795e-05,4.944759651408504e-05,0.0
30,19.836782975673675,1.0000533379018306,0.1883672966659069,4.2530613216229085e-05,4.248556111036805e-05,4.2575665248833164e-05,0.34678236371278764
31,19.558915937900544,1.0000638974308969,0.18558852042257787,4.761426192914087e-05,5.580718933515527e-05,3.9421334277960795e-05,0.0
32,19.297270580291748,1.0000156413912773,0.1829725497327745,2.372015473844158e-05,2.178807736612498e-05,2.5652232134433462e-05,0.0
33,19.03072306919098,1.0000134946107864,0.18030709614232182,1.8091390623936833e-05,1.700696078634678e-05,1.9175820542486122e-05,0.0
34,18.829151492118836,1.0000163702964782,0.17829135153070091,1.3425736637316276e-05,1.2660129329276515e-05,1.4191343958991353e-05,0.0
35,18.62889935016632,1.00001176404953,0.17628887601569296,9.875900968665974e-06,9.588115275960263e-06,1.0163686673074324e-05,0.34577230671048165
36,18.44194351053238,1.0000070684552194,0.1744193647764623,6.394007116270473e-06,6.137449614030288e-06,6.650564611163645e-06,0.0
37,18.276671931266783,1.0000089969933033,0.1727666295990348,4.1194363080023775e-06,4.04145156329605e-06,4.197421054605854e-06,0.0
38,18.147218024730684,1.0000027870237826,0.1714721524268389,2.1956732872396855e-06,2.242301162731053e-06,2.149045405221983e-06,0.0
39,18.043882885456085,1.000003797262907,0.1704387908987701,9.42827577894434e-07,9.935829984826227e-07,8.920721562848399e-07,0.0
40,17.931842003822325,1.0000029757618905,0.16931839019432665,3.123539719105395e-07,4.014132808478621e-07,2.232946610334352e-07,0.3440664464533329
